latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
35.5084,-118.38211,304.78,4.54,1.96,2024-08-01,0423,Terra,MODIS,40,6.1NRT,290.5,60.87,N
35.49671,-118.42735,305.27,4.57,1.96,2024-08-01,0423,Terra,MODIS,45,6.1NRT,290.3,64.9,N
35.4912,-118.36462,346.2,4.54,1.96,2024-08-01,0423,Terra,MODIS,100,6.1NRT,291.45,489.53,N
35.47905,-118.41255,347.2,4.57,1.96,2024-08-01,0423,Terra,MODIS,100,6.1NRT,292.1,513.06,N
35.5063,-118.37671,305.76,4.54,1.96,2024-08-01,0423,Terra,MODIS,45,6.1NRT,290.22,64.12,N
35.49514,-118.42091,311.65,4.57,1.96,2024-08-01,0423,Terra,MODIS,77,6.1NRT,290.56,102.52,N
35.49295,-118.37157,351.17,4.54,1.96,2024-08-01,0423,Terra,MODIS,100,6.1NRT,292.24,579.17,N
35.48072,-118.41867,343.11,4.57,1.96,2024-08-01,0423,Terra,MODIS,100,6.1NRT,291.71,441.41,N
40.82031,-119.66693,302.9,3.78,1.82,2024-08-01,0425,Terra,MODIS,52,6.1NRT,291.27,31.7,N
40.8052,-119.65952,311,3.78,1.82,2024-08-01,0425,Terra,MODIS,81,6.1NRT,291.68,67.29,N
40.81277,-119.65583,317.63,3.78,1.82,2024-08-01,0425,Terra,MODIS,95,6.1NRT,291.77,102.36,N
35.48209,-118.3801,314.78,4.22,1.9,2024-08-01,0601,Terra,MODIS,90,6.1NRT,288.02,110.66,N
35.48003,-118.4248,302.75,4.19,1.9,2024-08-01,0601,Terra,MODIS,36,6.1NRT,288.42,44.48,N
35.49698,-118.42362,308.11,4.19,1.9,2024-08-01,0601,Terra,MODIS,74,6.1NRT,289.75,72.43,N
35.48616,-118.38719,322.13,4.22,1.9,2024-08-01,0601,Terra,MODIS,100,6.1NRT,288.92,168.82,N
35.48445,-118.42927,304.32,4.19,1.9,2024-08-01,0601,Terra,MODIS,60,6.1NRT,289.1,55.15,N
40.18039,-121.61963,311.35,2.88,1.62,2024-08-01,0603,Terra,MODIS,27,6.1NRT,291.66,42.82,N
40.18275,-121.62502,310.39,2.88,1.62,2024-08-01,0603,Terra,MODIS,38,6.1NRT,291.43,41.34,N
40.22677,-121.67325,301.84,2.87,1.62,2024-08-01,0603,Terra,MODIS,9,6.1NRT,290.7,20.03,N
40.81487,-119.65389,303.39,3.87,1.83,2024-08-01,0603,Terra,MODIS,55,6.1NRT,290.62,37.13,N
35.488,-118.41438,328.79,1.09,1.04,2024-08-01,1021,Aqua,MODIS,100,6.1NRT,291.52,30.86,N
35.48651,-118.40292,311.45,1.09,1.04,2024-08-01,1021,Aqua,MODIS,78,6.1NRT,288.48,11.96,N
35.48497,-118.39104,355.96,1.09,1.04,2024-08-01,1021,Aqua,MODIS,100,6.1NRT,292.75,85.52,N
35.48351,-118.37983,388.58,1.08,1.04,2024-08-01,1021,Aqua,MODIS,100,6.1NRT,298.94,216.87,N
35.48194,-118.36777,308.02,1.08,1.04,2024-08-01,1021,Aqua,MODIS,73,6.1NRT,286.94,10.7,N
35.48548,-118.44704,302.09,1.09,1.04,2024-08-01,1021,Aqua,MODIS,47,6.1NRT,289.27,6.54,N
35.4838,-118.43453,300.53,1.09,1.04,2024-08-01,1021,Aqua,MODIS,29,6.1NRT,289.16,5.3,N
35.47749,-118.38719,344.63,1.08,1.04,2024-08-01,1021,Aqua,MODIS,100,6.1NRT,290.41,59.72,N
35.47596,-118.37572,324.26,1.08,1.04,2024-08-01,1021,Aqua,MODIS,100,6.1NRT,288.1,26.6,N
35.46725,-118.59521,302.81,1.1,1.05,2024-08-01,1021,Aqua,MODIS,52,6.1NRT,290.46,6.94,N
38.88551,-115.43973,301.2,1,1,2024-08-01,1021,Aqua,MODIS,39,6.1NRT,286.79,6.53,N
40.27635,-121.71893,305.64,1.83,1.32,2024-08-01,1021,Aqua,MODIS,56,6.1NRT,290.11,17.65,N
40.26265,-121.6984,304.79,1.82,1.32,2024-08-01,1021,Aqua,MODIS,30,6.1NRT,289.4,15.93,N
40.21761,-121.66932,301.12,1.81,1.32,2024-08-01,1021,Aqua,MODIS,8,6.1NRT,289.58,10.44,N
40.21595,-121.65107,300.83,1.81,1.32,2024-08-01,1021,Aqua,MODIS,16,6.1NRT,290.56,10.67,N
40.20443,-121.65446,310.85,1.81,1.32,2024-08-01,1021,Aqua,MODIS,33,6.1NRT,291.2,22.62,N
40.18286,-121.67803,302.97,1.81,1.32,2024-08-01,1021,Aqua,MODIS,13,6.1NRT,291.69,11.51,N
40.17715,-121.61419,312.25,1.8,1.31,2024-08-01,1021,Aqua,MODIS,61,6.1NRT,290.05,26.04,N
40.17104,-121.67834,322.66,1.81,1.32,2024-08-01,1021,Aqua,MODIS,100,6.1NRT,291.96,47.93,N
40.16925,-121.65812,325.57,1.81,1.32,2024-08-01,1021,Aqua,MODIS,100,6.1NRT,289.95,54.83,N
40.1656,-121.6171,302.43,1.8,1.31,2024-08-01,1021,Aqua,MODIS,22,6.1NRT,289.79,12.11,N
40.16375,-121.59625,300.98,1.79,1.31,2024-08-01,1021,Aqua,MODIS,36,6.1NRT,288.77,11.26,N
35.93629,-118.31986,306.89,1.09,1.04,2024-08-01,1021,Aqua,MODIS,70,6.1NRT,285.95,10.95,N
35.69387,-119.23869,310.89,1.17,1.08,2024-08-01,1021,Aqua,MODIS,81,6.1NRT,293.93,13.48,N
35.52474,-118.40835,300.63,1.09,1.04,2024-08-01,1021,Aqua,MODIS,31,6.1NRT,288.27,5.31,N
35.50337,-118.38845,313.06,1.09,1.04,2024-08-01,1021,Aqua,MODIS,65,6.1NRT,289.18,12.97,N
